Gear_name,Gear_code,Activity_(s/m2/d),Plough_rate_(m2/s)
Pelagic_Trawl+Seine,PTS,6.82758500E-06,0
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,5.10142100E-06,8.8
Longline_mackerel,LLm,5.96507400E-06,0
Beam_Trawl_BT1+BT2,BTf,9.07529200E-05,54.1
Demersal_Seine,DS,1.39511400E-07,22.4
Demersal_Otter_Trawl_TR1,OT,1.80727100E-04,17.1
Gill_Nets+Longline_demersal,LLd,8.17806100E-05,0
Beam_Trawl_shrimp,BTs,1.44676400E-05,13.5
Nephrops_Trawl_TR2,NT,9.65852800E-06,78.9
Creels,CR,5.41497600E-06,0
Mollusc_Dredge,MD,5.82176000E-06,22.4
Whaler,Wh,1.24255298E-08,0
