Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Pelagic_Trawl+Seine,PTS,1262.811177,0.583967382,704.1875966,0,0.001745768,0,0.114402433,0,0.229672611,0
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,662.6547279,1.386712447,25.12032857,0.000578195,0.501715524,0,0,0,0,0
Longline_mackerel,LLm,0.007967137,0.032410103,4.824268247,3.22E-05,0.016484203,0,0.055700901,0,0,0
Beam_Trawl_BT1+BT2,BTf,0.000790261,52.87247497,0.10547971,0.000702227,0.254666523,0,0,0,0,0
Demersal_Seine,DS,0,6.954456931,7.150953948,0,0.009967474,3.32741067,0,0,0,0
Demersal_Otter_Trawl_TR1,OT,0.55487593,50.73944408,6.160075514,0.000920943,0.45716039,0.978330131,0,0,0,0
Gill_Nets+Longline_demersal,LLd,0.170962405,5.663292601,0.036613126,0.000583598,0.045177309,0,0.006966616,0.490161128,0.384570234,0
Beam_Trawl_shrimp,BTs,0.161961317,3.382434262,0.013376046,6.22E-06,18.24074908,0,0,0,0,0
Nephrops_Trawl_TR2,NT,0.004262324,10.5015838,0.10764351,0.000151813,3.741099809,0.089567957,0,0,0,0
Creels,CR,0.000255092,0.013122768,0.026038319,0.000943328,1.095634291,0,0,0,0.021350694,0
Mollusc_Dredge,MD,0.080460961,0.031464406,0.004960331,3.791380645,0.003811867,0,0,0,0,0
Whaler,Wh,0,0,0,0,0,0,0,0,83.30815002,0
