Group,Regional_harvest_ratio,Comments
Planktivorous_fish,7.806249E-04,Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards
Demersal_fish,8.920954E-04,Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards
Migratory_fish,6.059539E-04,Harvest_ratio_for_mackerel_estimated_from_ICES_assessments
Benthos_susp-dep,2.715012E-04,Harvest_ratio_for_scallops_estimated_from_ICES_assessments
Benthos_carn-scav,2.691218E-04,Harvest_ratio_for_Nephrops_crabs_and_shrimp_estimated_from_ICES_assessments
Zooplankton_carn,2.493982E-03,Guess_at_harvest_ratio_for_squid
Birds,5.656497E-06,Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_data
Pinnipeds,2.184243E-04,Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_data
Cetaceans,8.952003E-04,Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_and_strandings_data
Macrophytes,0.000000E+00,No_kelp_harvesting_in_the_North_Sea
